n_trees,Dataset,Accuracy,Precision,Recall,F1 Score
100,Validation,0.8915,0.8913831850521269,0.8915,0.8906944387100751
 ,Test,0.8855,0.8837003136527246,0.8855,0.8837578292139494
200,Validation,0.891,0.8905529588578893,0.891,0.8902243571324246
 ,Test,0.8945,0.8929594180126635,0.8945,0.893098543873712
300,Validation,0.8935,0.8934391422797903,0.8935,0.8927392476108876
 ,Test,0.8925,0.8907474275128436,0.8925,0.8909774650433464
400,Validation,0.8935,0.8934139975983817,0.8935,0.8927041644712577
 ,Test,0.894,0.8922804142490759,0.894,0.8925368063693382
