kernel,Dataset,Accuracy,Precision,Recall,F1 Score
linear,Validation,0.882,0.8834489034253531,0.882,0.8803472505535492
 ,Test,0.878,0.8775992582349779,0.878,0.8746628980430493
rbf,Validation,0.8025,0.8310976079116489,0.8025,0.7891782027274341
 ,Test,0.803,0.8294054812460185,0.803,0.7889377772639194
sigmoid,Validation,0.884,0.8855728622920057,0.884,0.8821565802412924
 ,Test,0.876,0.8761302310276519,0.876,0.8723560013953945
poly,Validation,0.4585,0.7566058941006438,0.4585,0.3769213367643549
 ,Test,0.45,0.7334684274051337,0.45,0.36573000115512255
